"X"	"target_id"	"ens_gene"	"ext_gene"	"pval"	"qval"	"b"	"se_b"	"mean_obs"	"var_obs"	"tech_var"	"sigma_sq"	"smooth_sigma_sq"	"final_sigma_sq"
"6"	6	"ENST00000240100"	"ENSG00000120875"	"DUSP4"	4.0427833349832e-226	3.45873590252263e-222	-2.43439180506997	0.0758313781470305	6.49348674716941	1.78477951567156	0.00213799601470693	0.00648760085280998	0.00461750972228488	0.00648760085280998
"8"	8	"ENST00000312562"	"ENSG00000175592"	"FOSL1"	6.12898775121283e-216	3.93266499056571e-212	-3.25043039540234	0.103633327273736	6.83000224758934	3.18247716643281	0.00547637761929123	0.0106334221634466	0.00400216467886505	0.0106334221634466
"9"	9	"ENST00000305885"	"ENSG00000168496"	"FEN1"	1.83663191085691e-209	1.04753321386786e-205	-1.76237122721408	0.057060358094415	7.02368973811854	0.933379710488282	0.00109532578242224	0.000897183885915223	0.00378850091637207	0.00378850091637207
"10"	10	"ENST00000439784"	"ENSG00000002079"	"MYH16"	1.97383978440433e-208	1.01321143813043e-204	-2.57364701154257	0.0835350457096706	5.99507277015592	1.99505115344521	0.00428973062705765	0.00565210867120539	0.00617742516551749	0.00617742516551749
"17"	17	"ENST00000354185"	"ENSG00000165732"	"DDX21"	4.43690099160863e-171	1.33973530412502e-167	-1.91089570786704	0.0685356232070611	7.69966440989617	1.10109327988146	0.000794710917196709	0.00625098655537368	0.00372457471502289	0.00625098655537368
"18"	18	"ENST00000624301"	"ENSG00000276043"	"UHRF1"	1.76128617072839e-170	5.02279676199054e-167	-1.63218103727548	0.0586432846941529	7.49369719716357	0.803331323340162	0.00120865784025574	0.00394989441932346	0.00363498038341379	0.00394989441932346
"20"	20	"ENST00000393196"	"ENSG00000239672"	"NME1"	4.41337890920026e-165	1.13273783083534e-161	-1.58787452705326	0.0579883355502147	7.29115126222382	0.760139412222425	0.00140366867153214	0.00326602898226686	0.0036403019182943	0.0036403019182943
"21"	21	"ENST00000275517"	"ENSG00000146670"	"CDCA5"	2.48681990802208e-162	6.07873521517092e-159	-1.48859427813773	0.0548271807843108	7.1431761150527	0.666892823115834	0.00080697412542191	0.00184170793022726	0.00370205550371133	0.00370205550371133
"23"	23	"ENST00000368232"	"ENSG00000160818"	"GPATCH4"	9.81240435713119e-158	2.18995800200112e-154	-1.83398844382502	0.0685383362321825	6.33259772869289	1.01309709857743	0.00203470615075773	0.0030190625396293	0.00501154914945582	0.00501154914945582
"24"	24	"ENST00000225174"	"ENSG00000108179"	"PPIF"	1.23486518327403e-156	2.64117081615927e-153	-1.41303152681574	0.0529941783527767	7.53866386646398	0.601192307504419	0.00056634341504886	0.00217725504976818	0.00364623099388	0.00364623099388
"25"	25	"ENST00000535653"	"ENSG00000172927"	"MYEOV"	4.49697501323739e-156	9.23354885518007e-153	-1.97725203271405	0.0742896243023776	7.08836239230211	1.17915495171759	0.00454084963538423	0.00333073968466389	0.00373757278309839	0.00373757278309839
"26"	26	"ENST00000343380"	"ENSG00000101412"	"E2F1"	3.88805528637215e-152	7.67621746000212e-149	-1.83794105336721	0.0699551045224855	6.25937142071137	1.01593853109886	0.00212459425078655	0.00103832625307495	0.00521598072234125	0.00521598072234125
"27"	27	"ENST00000407426"	"ENSG00000163811"	"WDR43"	3.43633169658576e-149	6.53310291293112e-146	-1.44968720560544	0.0557271293065738	7.22541788357643	0.634204513757734	0.000883733666569397	0.00377453574455801	0.00366165035837909	0.00377453574455801
"29"	29	"ENST00000376957"	"ENSG00000116649"	"SRM"	1.9003170073353e-146	3.36369215932881e-143	-1.60835558212987	0.0624107673656334	6.7230956642213	0.78071642823029	0.00149699960964071	0.00434565621511011	0.00416205720795444	0.00434565621511011
"31"	31	"ENST00000549183"	"ENSG00000167553"	"TUBA1C"	1.99910449348899e-145	3.31025909225086e-142	-1.63371585499177	0.0636203451496235	7.22952027277885	0.805565306435797	0.00105810424254759	0.00501321823288824	0.0036600350041548	0.00501321823288824
"33"	33	"ENST00000492135"	"ENSG00000101361"	"NOP56"	3.65265173413198e-145	5.68175511565039e-142	-1.8334574194034	0.0714639575443411	6.98578084138455	1.0128467329752	0.00383765878925318	0.00163346664273252	0.0038229870525959	0.0038229870525959
"34"	34	"ENST00000358344"	"ENSG00000197451"	"HNRNPAB"	6.29783787606199e-143	9.50825334864748e-140	-1.68768605818564	0.0663021263217842	7.7670140516031	0.857446033883932	0.00281837246094886	0.000882583271151815	0.00377558547123589	0.00377558547123589
"36"	36	"ENST00000372621"	NA	NA	3.65582870553967e-141	5.21280553091007e-138	-2.31169429112888	0.0913905595602302	6.00122467348321	1.60877293727994	0.00637863650811579	0.000613599227620554	0.00614971505698218	0.00614971505698218
"37"	37	"ENST00000523944"	NA	NA	1.74848064858566e-140	2.42575699062701e-137	-1.46447480087878	0.0580384855442965	7.8717685253427	0.645385295577097	0.00117523132643013	0.00129897224159407	0.00387746737998314	0.00387746737998314
"38"	38	"ENST00000209728"	"ENSG00000094804"	"CDC6"	4.1814975214163e-140	5.64854291498268e-137	-1.76226535910758	0.0699358889358239	6.35154472117646	0.935987959256993	0.00237488575943204	0.00301786484534388	0.0049616570824338	0.0049616570824338
"39"	39	"ENST00000417626"	"ENSG00000214706"	"IFRD2"	1.24781719864087e-138	1.64238339591368e-135	-1.84769310597073	0.073720820901375	6.51177729663548	1.02705776169233	0.0035760404396038	7.48148139100404e-06	0.00457609871195512	0.00457609871195512
"40"	40	"ENST00000369550"	"ENSG00000130826"	"DKC1"	1.37436836220578e-137	1.76372691921868e-134	-1.33249195247213	0.0533687868099638	7.72272110180846	0.534205437203653	0.000531546518265792	0.0013996987101805	0.00374079459008526	0.00374079459008526
"41"	41	"ENST00000264156"	"ENSG00000076003"	"MCM6"	5.90843949631451e-137	7.39736624938577e-134	-1.5826312294262	0.0635359077066067	7.14996000273355	0.756260656388244	0.00101145242086107	0.00504376493129259	0.0036981407784186	0.00504376493129259
