"X"	"target_id"	"ens_gene"	"ext_gene"	"pval"	"qval"	"b"	"se_b"	"mean_obs"	"var_obs"	"tech_var"	"sigma_sq"	"smooth_sigma_sq"	"final_sigma_sq"
"1"	1	"ENST00000301258"	"ENSG00000167653"	"PSCA"	1.50148803844797e-264	7.70743839896114e-260	2.70202282942617	0.0777612027108954	6.54507997519496	2.19317684767996	0.00456820858518683	-0.000944913012811794	0.00450199838538062	0.00450199838538062
"2"	2	"ENST00000410026"	"ENSG00000173559"	"NABP1"	5.08216801286998e-242	1.30438924218321e-237	2.46701748147512	0.0742572503417629	6.64110642342107	1.83078991027977	0.00396456676273095	0.00220710087303661	0.00430664207974792	0.00430664207974792
"3"	3	"ENST00000397381"	"ENSG00000214049"	"UCA1"	4.03742362682086e-234	6.90830098706561e-230	1.90847020808075	0.0584148647686852	8.31998295430798	1.09613286421654	0.000446166230196029	0.0038729633660517	0.00467227840871964	0.00467227840871964
"4"	4	"ENST00000307365"	"ENSG00000168209"	"DDIT4"	2.36183641232581e-231	3.03094466793771e-227	1.99147066289746	0.0613221640772421	7.13774653248467	1.19270970626169	0.00193534705176243	0.00171851033237295	0.00370526465891187	0.00370526465891187
"5"	5	"ENST00000499732"	"ENSG00000245532"	"NEAT1"	1.70638916841186e-226	1.75184737585835e-222	1.89293057492455	0.0589156029157692	7.25994967299418	1.07697627684466	0.0015573412752384	0.00096819422402512	0.00364923112515448	0.00364923112515448
"7"	7	"ENST00000616661"	"ENSG00000162496"	"DHRS3"	3.47201901272901e-221	2.54608114230579e-217	1.92514372221249	0.0606398179596782	7.10546339265468	1.1146674718409	0.00179003511505376	0.00172742299576286	0.00372574616822061	0.00372574616822061
"11"	11	"ENST00000627719"	"ENSG00000274843"	"MUC20"	3.32971396553483e-206	1.42434064399028e-202	2.17694267692157	0.0710433220914619	6.83539042502032	1.42778040991728	0.00176633199755844	0.00580439842312836	0.00399492619335392	0.00580439842312836
"12"	12	"ENST00000629220"	"ENSG00000277753"	"MUC20"	3.32971396553483e-206	1.42434064399028e-202	2.17694267692157	0.0710433220914619	6.83539042502032	1.42778040991728	0.00176633199755844	0.00580439842312836	0.00399492619335392	0.00580439842312836
"13"	13	"ENST00000392027"	"ENSG00000163283"	"ALPP"	4.41253364351099e-204	1.74233982299005e-200	2.94052637339921	0.0964652734517286	8.20248827419675	2.60517526457544	0.00181446583106055	0.0121438576421146	0.0044007416744872	0.0121438576421146
"14"	14	"ENST00000237696"	"ENSG00000118849"	"RARRES1"	4.25126500912599e-197	1.55875668177468e-193	2.45029874032321	0.0818098490362282	9.28362243235428	1.8076270683545	0.000279276800797922	0.00776808983125427	0.00976000029819776	0.00976000029819776
